Edad,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,
22,,,,,K= 3.3222222*log10(n),,,,,,,,,,
35,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,
55,,,,,n=40,,,,No. ,Intervalo ,Frecuencia ,Frec. Relativa ,Facum,Fracum ,
29,,,,,,,,,1,19-28,10,25%,10,25%,
31,,,,,Numero de intervalos,,,,2,29-38,9,23%,19,48%,73%
45,,,,,K=,,1.602059991,,3,39-48,10,25%,29,73%,
62,,,,,5.322043291,,5.322399304,,4,49-58,7,18%,36,90%,
20,,,,,,,,,5,59-68,4,10%,40,100%,
38,,,,,5,,,,,,40,100%,,,
41,,,,,,Valor max,Valor min ,,,,,,,,
59,,,,,Rango=,68,19,,,19-23,5,,,,
24,,,,,R= ,49,,,,24-28,5,,,,
33,,,,,,,,,,29-33,5,,,,
49,,,,,,,,,,34-38,4,,,,
51,,,,,,,R/K,,,39-43,5,,,,
28,,,,,Amplitud del intervalo ,,,,,44-48,5,,,,
39,,,,,,,8.166666667,,,49-53,4,,,,
47,,,,,Redondeo ,9,,,,54-58,3,,,,
53,,,,,,,,,,59-63,2,,,,
26,,,,,,,,,,64-68,2,,,,
30,,,,,,,,,,,40,,,,
44,,,,,,,,,,2,,,,,
65,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,
